uidplot,CLASS_FIELD_FWSST,BAHA,DISP,FICA4,ILVO,IPSA,JURO,KOVI,LYLI2,MOCE2,OSRE,PAVI2,PHAU7,QUVI,SALA,SADE10,BORO5,SMRO,SOSE,SPPA,TORA2,PITA,TYAN,SCAM6,JUVI,SPAL,IVFR,LICA17,PLOD,SPCY,AVGE,BAMA5,BOFR,SYTE6
2812,E2EM,0,0,0.2,0,18.6,10.2,0,0,0.6,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3469,E2EM,0,1,0,0,0,86,0,0,0,0,0,0,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3471,E2EM,0,46,0.02,0,0.2,80,5.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3473,E2EM,0,0,0.8,0,41,16,0.6,0.4,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3562,E2EM,0,43,0,0,0,69,0,0,0,0,0,0,0,0,0,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3793,E2EM,4.4,0,0,0,2,0,17,0,34,9.4,0,0,0,0.6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3980,E2SS,3.8,0,0,0,0,0,4.4,0,19,9.4,0,0,0,0,0,0,1.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
3981,E2SS,40,0,0,1.4,0,0,3.4,0,31,10,1.8,0,0,3.8,0,0,4.4,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
3982,E2SS,13.4,0,0,0.4,0,0,12,0,26,6.8,0,0,0,0,0,0,0.2,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
5059,E2SS,22,0,0,0,0,0,5.8,0,16,0.2,8,1.6,0,0.4,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5061,E2SS,1.4,0,0,0.4,0,0,0,0,8.4,0.2,0,2.4,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5062,E2EM,13.4,0,0,0,0,0,7.2,0,0,0,0,0,0,7.8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3569,E2EM,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,82,0,0.02,0,0,0,0,0,0
3575,E2EM,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,15.4,1.4,0,0,0,0
3576,E2EM,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.2,0,0,0,0,0,74,2.02,0.24,0,0,0,0,0,0
3666,E2EM,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0.02,0,0,0,0,0,0.02,0,0,2,11.02,0,0.02,10.02,0,0,0,0
3667,E2EM,0,0,0,0,0,0,0,0,0,0,0,33.4,0,0,0,0.02,0,0,0,0,0,0,0,0,29,0,0,0,0.6,0,0,0,0
3694,E2EM,0,0,0,0,0,0,0,0,0,0,0.02,32.6,0,0,0,7,0,1,0,0,0,19.4,0,0,0,0,0,0,34.4,0,0,0,0
3741,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0
3751,E2EM,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3913,E2SS,0.22,0,0,0,0,0,0,0,1,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3914,E2EM,0,2,0,0,0,0,0,0,0,0,3,33,0,0,0,0,0,0.06,21,0,0,3.2,8.4,0,7,0,0,0.02,28,0,0,0,0
5372,E2EM,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,14,0,0.4,9.4,0,0,0,0
5373,E2EM,0,0,0,0,0,0,0,0,0,0,1.4,34,0,0,0,0.6,0,0,22,0,0,4,3,0,1,0,0.4,0.02,22,0,0,0,0
5375,E2EM,0,28.02,0,0,0,0,0,0,0,0,0,0.6,0,0,0.08,0,0,0,4,0,0,0,0,0,55.8,0,0.02,0,0,0,0,0,0
5377,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
2668,E2EM,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2811,E2EM,0,0,0,0,0,60.2,0,0.8,0,0,0.2,0,0,13,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
